,paper_id,paper_title
0,7601,Some Philosophical Problems with Formal Learning Theory.
1,7604,Terminological Cycles in KL-ONE-based Knowledge Representation Languages.
2,7605,Integrating Description Logics and Action Formalisms: First Results.
3,7610,Old Resolution Meets Modern SLS.
4,7612,Partial Compilation of Strategic Knowledge.
5,7613,Using an Annotated Language Corpus as a Virtual Stochastic Grammar.
6,7621,Plan Abstraction Based on Operator Generalization.
7,7630,Quantifying Incentive Compatibility of Ranking Systems.
8,7631,Case-Based Introspection.
9,7632,QuOnto: Querying Ontologies.
10,7633,Editorial Comprehension in OpEd through Argument Units.
11,7637,Looking for the AI in Software Engineering: An Applications Perspective.
12,7638,Hiding Satisfying Assignments: Two Are Better than One.
13,7652,QUICR-Learning for Multi-Agent Coordination.
14,7653,Constraint Limited Generalization: Acquiring Procedures From Examples.
15,7655,Semantic Tagging at the Sense Level.
16,7658,Keeping in Touch: Maintaining Biconnected Structure by Homogeneous Robots.
17,7660,Biconnected Structure for Multi-Robot Systems.
18,7663,Clustering by Exceptions.
19,7664,Automatic Generation of Semantic Attachments in FOL.
20,7668,Representation of Control Knowledge in Expert Systems.
21,7669,The Impact of Balancing on Problem Hardness in a Highly Structured Domain.
22,7670,Panel: Directions for Expert Systems.
23,7673,Modeling Choices in Quasigroup Completion: SAT vs. CSP.
24,7678,"Unclear Distinctions Lead to Unnecessary Shortcomings: Examining the Rule versus Fact, Role versus Filler, and Type versus Predicate Distinctions from a Connectionist Representation and Reasoning Perspective."
25,7681,Soundness and Completeness of a Logic Programming Approach to Default Logic.
26,7683,Explaining Qualitative Decision under Uncertainty by Argumentation.
27,7690,Analyses of Instance-Based Learning Algorithms.
28,7694,Model-Checking Memory Requirements of Resource-Bounded Reasoners.
29,7697,Learning Problem Classes by Means of Experimentation and Generalization.
30,7704,Automatic Construction of User-Interface Displays.
31,7710,Helicopter Routing for Maintaining Remote Sites in Alaska using a Genetic Algorithm.
32,7711,Recent Developments in Butterfly? Lisp.
33,7718,Autonomous Subgoal Discovery and Hierarchical Abstraction for Reinforcement Learning Using Monte Carlo Method.
34,7720,A Comparison of Action-Based Hierarchies and Decision Trees for Real-Time Performance.
35,7728,AI Support for Building Cognitive Models.
36,7730,Tool Use for Autonomous Agents.
37,7737,A Correspondence Metric for Imitation.
38,7739,Design and Implementation of the CALO Query Manager.
39,7742,Overview of an Approach to Representation Design.
40,7744,Mechanism Design for Single-Value Domains.
41,7745,The AI Technologies of the Philadelphia Area Urban Wireless Network Testbed.
42,7746,Intelligent Systems Demonstration: The Secure Wireless Agent Testbed (SWAT).
43,7748,Impersonation-Based Mechanisms.
44,7753,Semi-Supervised Clustering with Limited Background Knowledge.
45,7757,Question-based Acquisition of Conceptual Indices for Multimedia Design Documentation.
46,7759,Using Induction to Refine Information Retrieval Strategies.
47,7760,Forming Beliefs about a Changing World.
48,7762,From Statistics to Beliefs.
49,7763,On Optimal Game Tree Propagation for Imperfect Players.
50,7766,The Expected Value of Hierarchical Problem-Solving.
51,7770,Human Movement Understanding: A Variety of Perspectives.
52,7773,An Interactive Constraint-Based Approach to Minesweeper.
53,7775,Explanation-Based Indexing of Cases.
54,7784,Spatial Aggregation for Qualitative Assessment of Scientific Computations.
55,7803,A Case-Based Reasoning System for Subjective Assessment.
56,7807,Mining Opinion Features in Customer Reviews.
57,7810,"Actions, Beliefs and Intentions in Rationale Clauses and Means Clauses."
58,7814,Representation of Task-Specific Knowledge in a Gracefully Interacting User Interface.
59,7830,Boosting Sex Identification Performance.
60,7831,On Predicting User Intent.
61,7833,Mixed-Initiative Approach to Collaboration in the Mathematical Domain.
62,7834,Specification-Based Computing Environments.
63,7836,HEARSAY-II: A Domain-Independent Framework for Expert Systems.
64,7838,Performance Bounded Reinforcement Learning in Strategic Interactions.
65,7840,Efficient No-Regret Multiagent Learning.
66,7846,Rule Based Updates on Simple Knowledge Bases.
67,7848,Using SAT and Logic Programming to Design Polynomial-Time Algorithms for Planning in Non-Deterministic Domains.
68,7852,Reasoning about Intended Actions.
69,7853,Algorithms for Rationalizability and CURB Sets.
70,7855,A Production System for Learning Plans From an Expert.
71,7858,"Goal Specification, Non-Determinism and Quantifying over Policies."
72,7859,Regrets Only! Online Stochastic Optimization under Time Constraints.
73,7862,Opinion Extraction and Summarization on the Web.
74,7867,Manufacturing Processes Recognition of Machined Mechanical Parts using SVMs.
75,7869,The Sensitivity of Motion and Structure Computations.
76,7872,A Connectionist Parser with Recursive Sentence Structure and Lexical Disambiguation.
77,7882,On the Adequateness of the Connection Method.
78,7884,Minimal Belief and Negation as Failure: A Feasible Approach.
79,7887,Student Modelling with Confluences.
80,7898,Subassembly Stability.
81,7906,A Logic for Hypothetical Reasoning.
82,7907,A Context-Based Framework for Default Logics.
83,7912,Incremental Inference: Getting Multiple Agents to Agree on What to Do Next.
84,7913,Arc-Consistency and Arc-Consistency Again.
85,7914,Understanding Causal Descriptions of Physical Systems.
86,7915,Acquiring Constraint Networks Using a SAT-based Version Space Algorithm.
87,7916,CSP Properties for Quantified Constraints: Definitions and Complexity.
88,7917,The Complexity of Global Constraints.
89,7920,Locating Partially Visible Objects: The Local Feature Focus Method.
90,7923,Multiple Inheritance in Smalltalk-BO.
91,7926,Synthesizing UNIX Shell Scripts Using Derivational Analogy: An Empirical Assessment.
92,7927,Regularity and Structure.
93,7930,On the Difficulty of Modular Reinforcement Learning for Real-World Partial Programming.
94,7932,Adaptive Search by Explanation-Based Learning of Heuristic Censors.
95,7937,Making Best Use of Available Memory When Searching Game Trees.
96,7947,Conditional Logics of Normality as Modal Systems.
